Time,S5_H,S6_H,S7_H,S8_H,S9_H,S14_H,S5_PM1,S5_PM25,S5_PM10,S5_CO,S5_NO2,S6_PM1,S6_PM25,S6_PM10,S6_CO,S6_NO2,S7_PM1,S7_PM25,S7_PM10,S7_CO,S7_NO2,S8_PM1,S8_PM25,S8_PM10,S8_CO,S8_NO2,S9_PM1,S9_PM25,S9_PM10,S9_CO,S9_NO2,S14_PM1,S14_PM25,S14_PM10,S14_CO,S14_NO2
03.10.22 00:00,46.78109013,44.86203563,45.15978315,45.72010761,37.64348173,43.96801408,1.473333333,3.217916667,4.82875,0.146406467,2.003089862,1.269166667,3.167916667,5.207916667,0.003386923,2.013660716,17.3175,22.87333333,27.12916667,0.03942058,1.421680638,2.135666667,5.936833333,9.508666667,2.469887139,4.291149358,1.34375,4.078333333,6.6625,0.951242566,0.26979454,1.029583333,2.54125,3.95125,7.347829157,1.367815412
03.10.22 01:00,45.71009887,44.77730683,45.20166088,45.99406836,37.8530159,43.19106878,1.17875,2.555833333,3.825416667,0.19083422,2.002135113,1.527916667,3.315833333,5.197916667,0.003386923,2.029543358,14.89333333,21.5775,27.415,0.038828428,1.439921745,2.2795,5.947833333,9.383916667,2.715060921,4.23103677,1.38625,3.522916667,5.517916667,0.91466817,0.293942221,1.5575,4.9425,8.141666667,8.227845327,1.439933344
03.10.22 02:00,44.49286925,44.7637753,45.09269583,46.42742947,35.8583726,42.35753747,1.11625,2.644583333,4.065416667,0.158296233,1.858499095,1.523333333,4.113333333,6.920833333,0.003386923,2.041729323,14.53,20.96333333,26.55916667,0.038828428,1.475536992,2.1625,5.4815,8.584875,3.063916657,4.154107487,1.149166667,2.782916667,4.303333333,0.735741814,0.333490057,1.585833333,4.887916667,8.006666667,6.514614395,1.397669278
03.10.22 03:00,44.52324251,44.93600548,44.96349365,46.68624892,34.60717868,41.66652399,1.6925,4.5375,7.203333333,0.150103769,2.044889548,1.12,2.074166667,3.044583333,0.003386923,2.010212632,10.775,15.96916667,20.6,0.038828428,1.487816352,2.013291667,5.834625,9.433666667,3.304628249,4.108091406,0.997083333,2.039583333,2.99875,0.533785897,0.381920784,1.550416667,5.205416667,8.667083333,5.747304091,1.31064792
03.10.22 04:00,44.38388218,44.83266056,44.85914385,46.98691323,34.38522013,40.7650283,1.22,3.63625,5.9125,0.146406467,2.02787259,1.12375,2.955416667,4.935,0.003386923,2.05142838,9.164166667,13.40333333,17.14416667,0.037688145,1.495596413,1.848416667,4.907333333,7.774958333,3.556352546,4.070371028,10.41541667,14.57541667,18.03583333,0.484703303,0.402744979,1.361666667,4.365,7.2075,7.092271778,1.407932282
03.10.22 05:00,42.77157107,44.74640518,44.76087054,45.854392,34.4352644,40.3310289,1.282916667,3.722083333,6.0175,0.178629079,1.985885659,1.3475,3.214166667,5.208333333,0.003386923,2.016012331,8.695,13.92333333,18.84666667,0.038828428,1.511382604,1.808611111,5.548111111,9.0805,2.650300798,5.003744466,2.669166667,5.230833333,7.570833333,0.460897478,0.375076389,1.59375,4.342083333,6.91625,7.457190041,1.370710776
03.10.22 06:00,42.08610528,44.65234619,44.87828691,44.37704461,33.72517065,40.94582823,1.229166667,3.700833333,6.0325,0.146406467,1.941614819,1.320416667,3.278333333,5.38125,0.003386923,2.048343685,7.238333333,11.2725,15.00916667,0.042973492,1.510175156,1.331125,4.035055556,6.587388889,1.816132049,4.845842202,1.88875,4.1825,6.305416667,0.437095315,0.38307549,1.550416667,4.465,7.212666667,3.780029871,1.372337934
03.10.22 07:00,41.73836852,44.55157168,44.84989864,45.76859354,33.0645237,40.94769963,1.370416667,4.25375,6.974583333,0.153994746,2.121516795,1.69625,4.179166667,6.8475,0.003386923,2.026821234,5.7775,9.3875,12.8125,0.0453421,1.508171389,1.418305556,4.366888889,7.152527778,2.920276971,4.228129483,1.272916667,3.017916667,4.642083333,0.423507274,0.430231581,1.362916667,4.048333333,6.5815,3.682898662,1.318203508
03.10.22 08:00,44.0462273,44.68775596,44.14775992,45.757708,32.81701809,41.16357847,1.754583333,4.495,7.05875,0.144864593,2.540506791,1.253333333,3.402083333,5.73125,0.003386923,2.05049963,5.069166667,8.234166667,11.23916667,0.045559834,1.575021897,1.526319444,3.924013889,6.166680556,3.024437107,4.33851949,1.418333333,3.95375,6.333333333,0.408914011,0.422404241,1.305,3.893333333,6.3325,3.121390731,1.342182275
03.10.22 09:00,43.8755281,44.8472073,43.95719517,44.92190812,32.9409293,41.02034908,1.607916667,4.250416667,6.725416667,0.148786058,2.57305782,0.960416667,2.149583333,3.40875,0.003386923,2.049547487,2.194166667,4.013333333,5.825833333,0.031986732,1.817400684,1.654916667,3.926875,6.040083333,1.963914392,5.243944007,1.1275,2.458333333,3.685833333,0.523151975,0.398064647,1.320625,3.778333333,6.088333333,2.638828614,1.318212876
03.10.22 10:00,42.47863545,44.43498793,43.87667527,44.69008374,32.63631456,40.88628482,2.22,4.8125,7.203333333,0.19770856,1.919975582,1.274166667,3.714166667,6.375,0.003386923,2.052267479,2.500833333,4.744166667,7.0025,0.033127015,1.670010034,1.834805556,4.286763889,6.565763889,1.776984644,5.536018553,1.44625,2.469583333,3.382083333,0.436422502,0.437649328,1.022291667,2.699166667,4.271666667,2.108467199,1.317156844
03.10.22 11:00,41.64868211,44.29247962,43.78027767,44.76742272,32.49913444,40.59601037,2.406666667,4.805,7.000833333,0.161657262,2.188489746,1.645,3.984166667,6.489166667,0.003386923,2.098647618,1.88375,4.995416667,8.320416667,0.031986732,1.660736178,1.742666667,3.90375,5.906291667,2.041133585,5.155068314,1.045416667,2.023333333,2.914583333,0.378204159,0.421838455,1.526666667,4.199583333,6.70875,1.81369283,1.286426108
03.10.22 12:00,40.730017,43.34352773,43.68151539,44.50480626,32.57559126,39.80637355,2.1625,4.6775,6.995,0.177566261,2.153106414,1.594166667,2.905833333,4.230833333,0.003386923,2.109276005,1.538333333,3.134166667,4.770833333,0.032556873,1.632808908,1.922625,4.346458333,6.594208333,2.04705092,4.817976573,1.054166667,2.382083333,3.6125,0.321210339,0.447147959,0.7125,1.1475,1.5325,3.238446129,1.134736724
03.10.22 13:00,39.65996909,43.37781717,43.5446033,44.26003319,32.86284476,39.50293461,1.348333333,3.5025,5.519166667,0.168290233,2.338942418,1.909166667,2.83,3.6675,0.003386923,2.068927434,1.7225,3.734166667,5.820833333,0.032556873,1.661597656,1.697041667,4.475708333,7.079625,1.918261831,4.741990065,1.71875,2.660416667,3.477083333,0.364863081,0.477579639,1.321333333,3.891416667,6.311416667,1.507953314,1.305103345
03.10.22 14:00,39.21883522,43.85356291,43.40371806,44.25309891,32.96200116,40.28626678,1.503333333,2.889166667,4.1475,0.148786058,2.47215903,1.649583333,3.427916667,5.285833333,0.003971642,1.932018216,1.996666667,4.3,6.690833333,0.031986732,1.689452994,1.863083333,4.886444444,7.719055555,1.97085238,4.689944378,2.151666667,3.875833333,5.429166667,0.441392364,0.467965896,1.151166667,3.326916667,5.372333333,1.652477761,1.29650684
03.10.22 15:00,38.97043856,44.06950367,43.19752659,43.39144567,32.6732099,41.10815534,2.124583333,5.556666667,8.769583333,0.178897626,2.056548482,1.92625,3.59625,5.299166667,0.003971642,1.810810886,1.910833333,3.743333333,5.605,0.031986732,1.703021407,1.843208333,4.032916667,6.057166667,1.577129168,4.840471611,1.597083333,2.212083333,2.717916667,0.4701307,0.457235256,1.238333333,2.97125,4.587916667,1.856748705,1.357296491
03.10.22 16:00,38.62644561,44.20309777,43.03437693,40.08929848,32.18908318,42.04328989,2.01875,4.321666667,6.44625,0.216936333,2.264077718,2.328333333,4.2225,6.135,0.003386923,1.893418517,1.433333333,2.693333333,3.959166667,0.031986732,1.697076316,2.314333333,5.192833333,7.858166667,0.352016656,6.517008884,6.56875,8.672916667,10.3475,0.301543372,0.518290106,1.5925,4.92,8.062916667,2.037005556,1.361641365
03.10.22 17:00,38.39065645,44.44445309,42.94974856,40.63770577,34.50817124,42.90272787,1.739166667,3.560833333,5.233333333,0.209537483,2.238641088,1.87,3.889166667,5.9975,0.003386923,1.936734896,2.22,4.243333333,6.285833333,0.031986732,1.716104827,2.0685,4.605666667,6.954166667,0.57390468,5.457774161,2.751666667,5.781666667,8.573333333,0.457359341,0.474106666,1.799166667,5.3525,8.703333333,3.090936304,1.351929538
03.10.22 18:00,38.24351453,44.42768355,42.88370011,40.85419761,35.92420413,43.07676726,1.429166667,2.994166667,4.4325,0.173052251,2.398641525,2.519166667,5.828333333,9.349166667,0.003386923,1.957583336,1.878333333,3.11,4.29,0.031986732,1.718432253,2.1435,4.351333333,6.378666667,0.454283697,7.061922983,2.336944444,5.052222222,7.556666667,0.380322898,0.406433464,1.298333333,3.5625,5.68875,4.639696186,1.24010462
03.10.22 19:00,38.59883268,44.69077614,43.01616077,41.13523714,35.9604578,43.32118989,2.178333333,4.8325,7.286666667,0.234823235,2.503494057,2.013333333,3.374166667,4.708333333,0.003386923,1.927046476,1.4275,2.466666667,3.481666667,0.031986732,1.705998538,2.4095,4.851,7.087,0.661485957,5.860614623,2.010555556,3.865277778,5.556666667,0.390510566,0.418956666,1.901944444,5.094861111,8.093888889,4.17151394,1.309466282
